,Community Area,Crime Rate,Name
0,1,0.08048589769234965,Rogers Park
1,2,0.052862027744572014,West Ridge
2,3,0.07604414321706114,Uptown
3,4,0.05613653052439673,Lincoln Square
4,5,0.05403709166222111,North Center
5,6,0.0723020515428959,Lake View
6,7,0.0698109676211866,Lincoln Park
7,8,0.12552805526564287,Near North Side
8,9,0.026638062036292126,Edison Park
9,10,0.03319558112524647,Norwood Park
10,11,0.0524992140836215,Jefferson Park
11,12,0.023935595418197536,Forest Glen
12,13,0.05108471362444928,North Park
13,14,0.05215164332001086,Albany Park
14,15,0.0619268916474331,Portage Park
15,16,0.06538728237035926,Irving Park
16,17,0.04359439091863016,Dunning
17,18,0.04722180843140176,Montclare
18,19,0.07246358406461527,Belmont Cragin
19,20,0.0785685725709716,Hermosa
20,21,0.0680556263053334,Avondale
21,22,0.08038081630970861,Logan Square
22,23,0.18203930898567192,Humboldt Park
23,24,0.09977382168393405,West Town
24,25,0.20522971354325273,Austin
25,26,0.37047941781012167,West Garfield Park
26,27,0.3047114309330481,East Garfield Park
27,28,0.15498988721051002,Near West Side
28,29,0.27255513477389176,North Lawndale
29,30,0.06437291897891231,South Lawndale
30,31,0.08599625373927143,Lower West Side
31,32,0.2657514598914046,Loop
32,33,0.08471248246844319,Near South Side
33,34,0.09655738929131506,Armour Square
34,35,0.1528128084219761,Douglas
35,36,0.12031091584994931,Oakland
36,37,0.3741307371349096,Fuller Park
37,38,0.18217884992475716,Grand Boulevard
38,39,0.08928871700016815,Kenwood
39,40,0.28753093795340107,Washington Park
40,41,0.06483392391262023,Hyde Park
41,42,0.1997893850042123,Woodlawn
42,43,0.20328782926360314,South Shore
43,44,0.23050148253190667,Chatham
44,45,0.16102110947471773,Avalon Park
45,46,0.1867427399192256,South Chicago
46,47,0.16152263374485595,Burnside
47,48,0.11685490877497828,Calumet Heights
48,49,0.1827024361818956,Roseland
49,50,0.1564505119453925,Pullman
50,51,0.1446819776292276,South Deering
51,52,0.06501171773283569,East Side
52,53,0.17368722808674245,West Pullman
53,54,0.23033014501697008,Riverdale
54,55,0.07574793125397836,Hegewisch
55,56,0.061020485034624636,Garfield Ridge
56,57,0.08959904427686105,Archer Heights
57,58,0.06381149709046023,Brighton Park
58,59,0.0817960543171919,McKinley Park
59,60,0.05913625418269381,Bridgeport
60,61,0.13511503706875183,New City
61,62,0.07129051852669943,West Elsdon
62,63,0.07078758710583045,Gage Park
63,64,0.048187043519598946,Clearing
64,65,0.06736621196222456,West Lawn
65,66,0.131085065075142,Chicago Lawn
66,67,0.2537952401070272,West Englewood
67,68,0.2672081946891107,Englewood
68,69,0.23676461566775045,Greater Grand Crossing
69,70,0.06845013509895086,Ashburn
70,71,0.17586114929323185,Auburn Gresham
71,72,0.050963362284117,Beverly
72,73,0.14724644245649796,Washington Heights
73,74,0.03278688524590164,Mount Greenwood
74,75,0.11045067423704755,Morgan Park
75,76,0.16713703355283788,O'Hare
76,77,0.04799985845968755,Edgewater
